sku_id,tier,shop,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_PHOENIX_BLASTER,retail,ehcards,2023/24 Panini Phoenix Basketball 6-pack Blaster Box,,34.99,1,48.98,34.95,28.5,27.0,31.0,49.99,NO_GO,0,https://ehcards.com/products/2023-24-panini-phoenix-basketball-6-pack-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,retail,hiddengems,2023-24 Panini Phoenix Basketball Trading Cards Blaster Box,,19.99,0,33.47,34.95,28.5,27.0,31.0,49.99,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-phoenix-basketball-trading-cards-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PHOENIX_BLASTER,retail,awesome,2023-24 Panini Phoenix Basketball Blaster Box,,35.0,0,48.99,34.95,28.5,27.0,31.0,49.99,,0,https://theawesomecardshop.com/products/2023-24-panini-phoenix-basketball-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,retail,ehcards,2023/24 Panini Premium Stock Basketball Blaster Box,,44.99,1,59.33,34.96,,30.0,35.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-premium-stock-basketball-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,retail,hiddengems,2023-24 NBA Hoops Premium Stock Blaster Box,,20.0,0,33.48,34.96,,30.0,35.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-nba-hoops-premium-stock-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_MEGA,retail,hiddengems,2023-24 NBA Hoops Premium Stock Mega Box,,35.0,0,48.99,,,60.0,75.0,149.0,,0,https://www.hiddengemscardshop.com/products/2023-24-nba-hoops-premium-stock-mega-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,retail,awesome,2023-24 Panini Prizm  Basketball Blaster Box (Green Wave Prizm),,60.0,0,74.85,119.95,,60.0,80.0,150.0,,0,https://theawesomecardshop.com/products/2023-24-panini-prizm-basketball-blaster-green-wave-prizm,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,retail,awesome,2023-24 Panini Prizm Basketball Blaster Box (Ice Prizms),,62.75,0,77.7,119.95,,60.0,80.0,150.0,,0,https://theawesomecardshop.com/products/2023-24-panini-prizm-basketball-6-pack-blaster-box-ice-prizms,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,retail,columbia,2023-24 Panini Prizm Basketball 6-Pack Blaster Box (Ice Prizms!),,69.95,0,85.14,119.95,,60.0,80.0,150.0,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-basketball-6-pack-hobby-blaster-box-green-wave-prizms,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,ehcards,2023/24 Panini Donruss Optic Basketball 6-Pack Blaster Box,,59.99,1,74.84,,,40.0,45.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,hiddengems,2023-24 Donruss Optic Basketball blaster,,35.0,0,48.99,,,40.0,45.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-donruss-optic-basketball-blaster,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,awesome,2023-24 Panini Donruss Optic Basketball Blaster Box (Glitter),,45.0,0,59.34,,,40.0,45.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-hobby-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,columbia,2023-24 Panini Donruss Optic Basketball 6-Pack Blaster Box (Glitter Parallels),,49.95,0,64.46,,,40.0,45.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box-glitter-parallels,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,rbicru7,"2023-24 Donruss Optic Basketball, Mega Box (Hyper Parallels)",,110.0,1,126.57,63.95,60.0,65.0,75.0,99.0,NO_GO,0,https://rbicru7.com/products/2023-24-donruss-optic-basketball-mega-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,ehcards,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink),,59.99,0,74.84,63.95,60.0,65.0,75.0,99.0,,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,columbia,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,64.99,0,80.01,63.95,60.0,65.0,75.0,99.0,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,awesome,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,70.0,0,85.2,63.95,60.0,65.0,75.0,99.0,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,hiddengems,2023-24 Donruss Optic Basketball Mega Box Factory Sealed,,100.0,0,116.23,63.95,60.0,65.0,75.0,99.0,,0,https://www.hiddengemscardshop.com/products/2023-24-donruss-optic-basketball-mega-box-factory-sealed,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,retail,awesome,2023-24 Panini Select Basketball Blaster Box (Flash Prizms),,49.75,0,64.25,,,45.0,55.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-blaster-box-1,2026-08-17T11:25:45+00:00,1.0
